DistrictCode,SchoolCode,CountyCode,CountyName,DistrictName,SchoolName,SchoolType,TypeLabel,MathScore,ReadingWritingScore,TotalScore,DistrictMedianIncome
0110,010,1,ATLANTIC,ATLANTIC CITY,ATLANTIC CITY HIGH SCHOOL,Public,3,524,526,1050,26006
0150,010,7,CAMDEN,AUDUBON BOROUGH,AUDUBON JUNIOR/SENIOR HIGH SCHOOL,Public,3,536,551,1087,75136
0185,030,29,OCEAN,BARNEGAT TOWNSHIP,BARNEGAT HIGH SCHOOL,Public,3,556,548,1104,69877
0220,020,17,HUDSON,BAYONNE CITY,BAYONNE HIGH SCHOOL,Public,3,518,526,1044,56701
0250,020,13,ESSEX,BELLEVILLE TOWN,BELLEVILLE HIGH SCHOOL,Public,3,515,510,1025,67292
0280,020,41,WARREN,BELVIDERE TOWN,BELVIDERE HIGH SCHOOL,Public,3,538,545,1083,51917
0310,005,39,UNION,BERKELEY HEIGHTS TOWNSHIP,GOVERNOR LIVINGSTON HIGH SCHOOL,Public,3,592,606,1198,147614
0350,050,35,SOMERSET,BERNARDS TOWNSHIP,RIDGE HIGH SCHOOL,Public,3,641,637,1278,137855
0410,020,13,ESSEX,BLOOMFIELD TOWNSHIP,BLOOMFIELD HIGH SCHOOL,Public,3,502,507,1009,74961
0440,020,3,BERGEN,BOGOTA BOROUGH,BOGOTA BOROUGH HIGH SCHOOL,Public,3,523,535,1058,79356
0450,020,27,MORRIS,BOONTON TOWN,BOONTON HIGH SCHOOL,Public,3,530,529,1059,91055
0475,050,5,BURLINGTON,BORDENTOWN REGIONAL,BORDENTOWN REGIONAL HIGH SCHOOL,Public,3,547,546,1093,82655
0490,020,35,SOMERSET,BOUND BROOK BOROUGH,BOUND BROOK HIGH SCHOOL,Public,3,527,522,1049,65199
0530,020,29,OCEAN,BRICK TOWNSHIP,BRICK TOWNSHIP HIGH SCHOOL,Public,3,530,548,1078,73051
0530,025,29,OCEAN,BRICK TOWNSHIP,BRICK TOWNSHIP MEMORIAL HIGH SCHOOL,Public,3,546,551,1097,73051
0540,020,11,CUMBERLAND,BRIDGETON CITY,BRIDGETON HIGH SCHOOL,Public,3,475,478,953,34135
0590,025,1,ATLANTIC,BUENA REGIONAL,BUENA REGIONAL HIGH SCHOOL,Public,3,538,528,1066,56931
0600,020,5,BURLINGTON,BURLINGTON CITY,BURLINGTON CITY HIGH SCHOOL,Public,3,496,497,993,50709
0620,010,5,BURLINGTON,BURLINGTON TOWNSHIP,BURLINGTON TOWNSHIP HIGH SCHOOL,Public,3,537,540,1077,81738
0630,020,27,MORRIS,BUTLER BOROUGH,BUTLER HIGH SCHOOL,Public,3,526,544,1070,96474
0660,050,13,ESSEX,CALDWELL-WEST CALDWELL,JAMES CALDWELL HIGH SCHOOL,Public,3,576,591,1167,95536
0680,305,7,CAMDEN,CAMDEN CITY,CAMDEN BIG PICTURE LEARNING ACADEMY,Public,3,429,405,834,26105
0680,030,7,CAMDEN,CAMDEN CITY,CAMDEN HIGH SCHOOL,Public,3,427,432,859,26105
