District.Code,School.Code,County.Code,County.Name,District.Name,School.Name,City,Zip.Code,School.Type,Type.Label,Math,Reading.and.Writing,Average.Total.Score,Median.HH.Income
6010,910,80,MONMOUTH,ACADEMY CHARTER HIGH SCHOOL,ACADEMY CHARTER HIGH SCHOOL,LAKE COMO,7719,Charter,1,448,457,905,92414
6032,901,80,MIDDLESEX,ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,ACADEMY FOR URBAN LEADERSHIP CHARTER SCHOOL,Perth Amboy,8861,Charter,1,470,469,939,51389
0110,010,1,ATLANTIC,ATLANTIC CITY,ATLANTIC CITY HIGH SCHOOL,Atlantic City,8401,Public,3,524,526,1050,26006
0120,010,1,ATLANTIC,ATLANTIC COUNTY VOCATIONAL,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Mays Landing,8330,Vocational,2,528,530,1058,64266
0150,010,7,CAMDEN,AUDUBON BOROUGH,AUDUBON JUNIOR/SENIOR HIGH SCHOOL,Audubon,8106,Public,3,536,551,1087,75136
0185,030,29,OCEAN,BARNEGAT TOWNSHIP,BARNEGAT HIGH SCHOOL,Barnegat,8005,Public,3,556,548,1104,69877
0220,020,17,HUDSON,BAYONNE CITY,BAYONNE HIGH SCHOOL,Bayonne,7002,Public,3,518,526,1044,56701
0250,020,13,ESSEX,BELLEVILLE TOWN,BELLEVILLE HIGH SCHOOL,Belleville,7109,Public,3,515,510,1025,67292
0280,020,41,WARREN,BELVIDERE TOWN,BELVIDERE HIGH SCHOOL,BELVIDERE,7823,Public,3,538,545,1083,51917
6013,900,3,BERGEN,BERGEN ARTS AND SCIENCES CHARTER SCHOOL,BERGEN ARTS AND SCIENCES CHARTER SCHOOL,GARFIELD,7407,Charter,1,547,549,1096,76907
0290,020,3,BERGEN,BERGEN COUNTY VOCATIONAL,BERGEN COUNTY ACADEMIES,Paramus,7652,Vocational,2,748,722,1470,105114
0290,030,3,BERGEN,BERGEN COUNTY VOCATIONAL,BERGEN COUNTY TECHNICAL HIGH SCHOOL - PARAMUS,Paramus,7652,Vocational,2,453,461,914,105114
0290,075,3,BERGEN,BERGEN COUNTY VOCATIONAL,BERGEN COUNTY TECHNICAL HIGH SCHOOL - PARAMUS,Paramus,7652,Vocational,2,453,461,914,105114
