School, Average_SAT_Score, Town, Zip, County, Median_HH_Income
The Lawrenceville School, 1460, Lawrence Township, 08648, Mercer, 96529
Newark Academy, 1420, Livingston, 07039, Essex, 153381
Stuart Country Day School, 1420, Princeton, 08540, Mercer, 125506
Princeton Day School, 1410, Princeton, 08540, Mercer, 125506
Villa Walsh Academy, 1410, Morristown, 07960, Morris, 92296
Wilberforce School, 1361, Princeton Junction, 08550, Mercer, 125506
Timothy Christian School, 1350, Piscataway, 08854, Middlesex, 89617
Golda Och Academy, 1340, West Orange, 07052, Essex, 93954
The Wardlaw Hartridge School, 1340, Edison, 08820, Middlesex, 95622
Noble Leadership Academy, 1310, Passaic, 07055, Passaic, 36723
Peddie School, 1310, Hightstown, 08520, Mercer, 72973
Moorestown Friends School, 1303, Moorestown, 08057, Burlington, 133902
Darul Arqam School, 1290, South River, 08882, Middlesex, 62332
The Hudson School, 1290, Hoboken, 07030, Hudson, 127523
Doane Academy, 1280, Burlington, 08016, Burlington, 81738
Villa Victoria Academy, 1270, Trenton, 08628, Mercer, 35524
Saddle River Day School, 1262, Saddle River, 07458, Bergen, 173333
Center For Education, 1260, Marlton, 08053, Burlington, 73727
St. Augustine Preparatory School, 1260, Richland, 08350
Donovan Catholic, 1254, Toms River, 08753, Ocean, 76051
Calvary Christian School, 1250, Old Bridge, 08857, Middlesex, 88540
Don Bosco Prep H.S., 1250, Ramsey, 07446, Bergen, 137768
Morristown-Beard School, 1250, Morristown, 07960, Morris, 92296
Pioneer Academy, 1244, Wayne, 07470, Passaic, 108092
St. Peters Preparatory School, 1229, Jersey City, 07302, Hudson, 62739
Hawthorne Christian Academy, 1220, Hawthorne, 07506, Passaic, 93675
Cape Christian Academy, 1210, Cape May Court House, 08210,
The King's Christian School, 1200, Cherry Hill, 08003, Camden, 99922
Notre Dame High School, 1200, Lawrence Township, 08648, Mercer, 96529
Roselle Catholic High School, 1200, Roselle, 07203, Union, 52480
Koinonia Academy, 1192, Plainfield, 07060, Union, 56245
Pope John Xxiii High School, 1188, Sparta, 07871, Sussex, 133113
St Joseph Regional High School, 1180, Montvale, 07645, Bergen, 120060
DePaul Catholic High School, 1150, Wayne, 07470, Passaic, 108092
Bergen Catholic High School, 1140, Oradell, 07649, Bergen, 137583
Barnstable Academy, 1120, Oakland, 07436, Bergen, 112944
Parsippany Christian School, 1120, Parsippany, 07054, Morris, 93915
Our Lady Of Mercy Academy, 1070, Newfield, 08344, Gloucester, 74226
Hudson Catholic Regional High School, 1020, Jersey City, 07306,  Hudson, 62739
