Area,Year,Population,Violent crime,Murder and nonnegligent manslaughter,Rape-revised definition,Rape-legacy definition,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
United States Total,2015,320896618,1234183,15883,126134,91261,328109,764057,8024115,1587564,5723488,713063
,2016,323127513,1283058,17250,130603,95730,332198,803007,7919035,1515096,5638455,765484
,Percent change,,4,8.6,3.5,4.9,1.2,5.1,-1.3,-4.6,-1.5,7.4
Northeast,2015,56184737,180474,1967,16415,11912,56202,105890,951940,157910,737087,56943
,2016,56209510,178244,1955,16651,12219,53033,106605,909897,142720,709721,57456
,Percent change,,-1.2,-0.6,1.4,2.6,-5.6,0.7,-4.4,-9.6,-3.7,0.9
New England,2015,14710229,42121,326,4602,3374,9629,27564,257073,46260,193051,17762
,2016,14735525,41598,292,4505,3328,9407,27394,243769,42095,182985,18689
,Percent change, ,-1.2,-10.4,-2.1,-1.4,-2.3,-0.6,-5.2,-9,-5.2,5.2
Connecticut,2015,3584730,7938,116,798,585,2925,4099,65610,10286,48898,6426
,2016,3576452,8123,78,763,561,2703,4579,64664,10045,47512,7107
,Percent change,,2.3,-32.8,-4.4,-4.1,-7.6,11.7,-1.4,-2.3,-2.8,10.6
Maine,2015,1329453,1726,23,461,337,311,931,24361,4694,18853,814
,2016,1331479,1648,20,412,300,266,950,21912,4003,17134,775
,Percent change,,-4.5,-13,-10.6,-11,-14.5,2,-10.1,-14.7,-9.1,-4.8
Massachusetts,2015,6784240,26453,131,2082,1538,5266,18974,114547,21826,84676,8045
,2016,6811779,25677,134,2128,1592,5365,18050,106339,19193,79088,8058
,Percent change,,-2.9,2.3,2.2,3.5,1.9,-4.9,-7.2,-12.1,-6.6,0.2
New Hampshire,2015,1330111,2692,15,644,468,475,1558,23453,3482,19076,895
,2016,1334795,2637,17,582,423,427,1611,20194,2963,16360,871
,Percent change,,-2,13.3,-9.6,-9.6,-10.1,3.4,-13.9,-14.9,-14.2,-2.7
Rhode Island,2015,1055607,2565,31,467,342,547,1520,20038,3938,14714,1386
,2016,1056426,2524,29,442,328,540,1513,20058,3788,14674,1596
,Percent change, ,-1.6,-6.5,-5.4,-4.1,-1.3,-0.5,0.1,-3.8,-0.3,15.2
Vermont,2015,626088,747,10,150,104,105,482,9064,2034,6834,196
,2016,624594,989,14,178,124,106,691,10602,2103,8217,282
,Percent change,,32.4,40,18.7,19.2,1,43.4,17,3.4,20.2,43.9
Middle Atlantic,2015,41474508,138353,1641,11813,8538,46573,78326,694867,111650,544036,39181
,2016,41473985,136646,1663,12146,8891,43626,79211,666128,100625,526736,38767
