address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zipcode
Address: 1160 Mission Street #2007,2,2,1043,2/17/2016,1300000,37.778705,-122.412635,South of Market,4,Condominium,2007,94103
Address: 260 King Street #475,1,1,903,2/17/2016,750000,37.777641,-122.393417,South of Market,3,Condominium,2004,94107
Address: 560 Missouri Street #B,4,3,1425,2/17/2016,1495000,37.759198,-122.396516,Potrero Hill,6,Condominium,2003,94107
Address: 350 Missouri Street,3,3,2231,2/17/2016,2700000,37.761886,-122.396769,Potrero Hill,10,SingleFamily,1927,94107
Address: 3658 Folsom Street,3,3,1300,2/17/2016,1530000,37.740795,-122.413453,Bernal Heights,4,SingleFamily,1900,94110
Address: 156 Lowell Street,1,2,1250,2/17/2016,460000,37.710226,-122.446027,Crocker Amazon,5,SingleFamily,1924,94112
Address: 735 Lakeview Avenue,1,3,1032,2/17/2016,532000,37.718024,-122.460332,Oceanview,6,SingleFamily,1939,94112
Address: 430 Capistrano Avenue,1,2,1200,2/17/2016,1050000,37.725204,-122.439273,Mission Terrace,5,SingleFamily,1924,94112
Address: 4135 23rd Street,3.5,4,2700,2/17/2016,3500000,37.752602,-122.435011,Noe Valley,9,SingleFamily,1912,94114
Address: 440 Steiner Street,2,3,2016,2/17/2016,1500000,37.773237,-122.432302,Hayes Valley,7,Condominium,1890,94117
Address: 414 Somerset Street,1,3,1798,2/17/2016,848000,37.726252,-122.407649,Portola,8,SingleFamily,1953,94134
Address: 300 Berry Street #813,1,1,761,2/17/2016,1000000,37.773929,-122.39624,South of Market,4,Condominium,2008,94158
Address: 370 Church Street #F,1,1,780,8/12/2015,863000,37.765062,-122.429077,Eureka Valley - Dolores Heights - Castro,4,Condominium,1981,94114
Address: 10 22nd Avenue,5,5,5786,2/16/2016,4888000,37.787088,-122.481741,Lake,12,SingleFamily,1926,94121
Address: 1847 10th Avenue,2,2,1688,2/16/2016,1000000,37.753756,-122.466995,Inner Sunset,6,SingleFamily,1927,94122
Address: 442 Mangels Avenue,3,4,1619,2/16/2016,210000,37.733307,-122.447605,Sunnyside,7,SingleFamily,1966,94127
Address: 650 Turk Street #706,1,0,398,2/12/2016,525000,37.782379,-122.420166,Van Ness - Civic Center,4,Condominium,2008,94102
